,ds,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,RTX,VZ,V,WMT,WBA,DIS
0,2017-01-03,172.70617287055342,79.28761998249043,114.0930355282365,145.12964397658874,94.8013022606101,119.3580484598528,30.746016262267986,39.560775897172945,98.91597512430745,88.87571260090067,242.0327114650933,132.31733323600483,172.1629042326743,33.960380367813315,114.52696441969528,89.81838976444719,116.7356888456641,63.02061546909634,62.562228351936334,52.24931469057441,33.77156151233777,85.24170619071977,115.47443392723972,159.49414332709424,113.67039998144716,52.947540669801946,81.40925594630512,66.63112081265756,82.39607130671716,111.18573940941907
1,2017-01-04,173.35558763900502,79.21334224890904,115.38574454651247,146.49058329530547,95.30098963309749,119.06448800296198,30.701469688236532,39.64772868373751,98.64413114347337,88.77191056589953,242.16191427872016,132.85740793119086,172.28455170057296,33.99546655163062,114.57315090728895,89.7653261804934,117.61500998906519,63.04282100564664,62.683525665146405,52.59498239007077,33.78223559692554,85.2517273303732,115.57493500207418,159.9471152746049,113.6188128215245,52.81284312808533,81.91141369353613,66.5804637200899,82.42824508249157,111.21538208858928
2,2017-01-05,173.9634028381303,79.45055685097061,115.88088744125542,148.66008917543613,95.902073971345,119.13566834761232,30.690811605528896,39.71381438222278,98.50439442327287,88.92380663429034,242.64290640062777,133.43574747535635,172.4109988139335,33.96268864452854,114.75305981953136,90.01865790302162,118.37893063649148,63.110787229214615,62.76094460804204,52.79873135196188,33.75582281050564,85.2719762236216,115.88311492290299,160.57352396572253,114.11354974009006,52.84299689333904,82.3591738537589,66.77362220920178,82.48096148819633,111.31607437902808
3,2017-01-06,174.9777194458755,79.74041698046614,116.0041785304248,150.92999891884335,96.65090488280126,119.28720294687065,30.786476424150766,39.8675480749999,98.40195001285964,89.01693922579638,243.02648117284818,134.3738923464651,172.65481828814197,33.93986343244942,115.05172150496537,90.23541617837789,119.25999231835557,63.26502418924978,62.833416125347014,53.0926785458554,33.91154836387358,85.54346361142981,116.47528133438007,161.34937176973312,114.55099263786515,52.96543278967374,82.85779725487197,66.92820322746377,82.70340452750602,111.60145737259569
4,2017-01-09,177.35490242324235,80.23534789428362,117.61554367550418,156.99962396237592,98.11893329255665,119.71405340697422,31.00496395558153,40.25547718198468,98.32452491862361,89.54751946043672,245.17753531648307,136.5022586663755,173.95461858474323,34.19687006215583,115.56051709090652,90.91729730838183,121.1691539271162,63.41207648101723,62.98034653232166,53.719767571689836,33.961754864627224,85.65176739701369,117.60942045586631,162.28722626227957,115.40898682315137,52.87560374966065,83.95445711769544,67.23375882531411,83.40415934780836,111.98354493245448
5,2017-01-10,178.08474587808792,80.55461044325608,119.08693059656888,159.37881761196317,98.73865755616136,119.95818564479538,31.20104326875186,40.48051875787037,98.5356772847537,89.7082064654214,246.25274525597513,137.66396576111615,174.44123268755118,34.40877985004897,116.17691866133376,91.09572218614865,122.13871383300223,63.4974916516753,63.29290592272503,54.081532368371114,33.948409552351656,85.93351108611753,118.00038560771705,163.72049401058288,115.95393369773498,52.941378464943696,84.66664342815832,67.69193622365852,83.65194070514565,112.2293338931946
6,2017-01-11,178.61396273337564,80.42116292829523,120.71974617687057,160.50306644210002,98.88895653099507,119.55438834898801,31.172913273599157,40.60377770513746,98.26383330391923,89.5531736208712,246.43927390562513,138.28241454364783,174.71648956587404,34.512727985058504,116.3334182217007,90.93941526146266,123.00990872245885,63.541901303068045,63.55435594397454,54.3396444779908,33.944522449087806,86.03271195217727,118.14256533409123,164.39138111183757,115.83637811681909,52.79887464973081,85.19342654510956,67.61765407376042,83.64329190337719,112.12709556917781
7,2017-01-12,179.050308123832,80.58552348762835,121.44006675413429,162.31312507923118,99.10727568889288,119.49978963796364,31.172350805611696,40.70481670128877,98.1240965837168,89.62942699751486,246.92440087506546,138.88554154314556,174.96921979079914,34.54688288330001,116.59927270617443,91.07773744592316,123.70579396898904,63.62504301160015,63.760915154063,54.445389286874,33.89682291612427,86.13744174406571,118.4740004232303,165.1838068824804,116.2493169779514,52.81229724389556,85.63518921780756,67.78652733995648,83.63964353431872,112.10163962778182
8,2017-01-13,179.8440512780028,80.79138797255,121.66985560216578,164.11065797724547,99.44486087306585,119.51076934612838,31.271856471697102,40.8910887627198,98.02165217330321,89.62334424110723,247.25735473188377,139.79313782745885,175.31048734207363,34.58758180752286,116.95775479190432,91.17054718117,124.45938930945526,63.78679841154143,63.94911807924349,54.63264302214939,34.02479795993751,86.48651960128679,119.07022009562576,166.07120486829933,116.59164309028587,52.909035465819954,86.09652783322184,67.91673975704543,83.79191323132908,112.26854445297829
9,2017-01-17,181.65489355841152,81.21451177079558,124.04082437907347,169.82868706548732,99.72622772918736,119.4967100063476,31.645501316626945,41.58919082576119,98.15537944519843,89.71688877062775,249.7428216055667,142.42212122810645,177.18845482056494,35.250443076441016,118.0449931248074,91.50763339219816,126.29105869369788,63.966595454554074,64.70435312134033,55.15093188803884,33.89688310059459,87.08319979706995,120.41712485214504,168.3277040404474,117.53709203403233,52.6987652794133,87.45389957254815,68.58860477766214,84.3652238060006,112.5271598556311
